,PostCode District,latitude,longitude,PostTown,Neighborhood,Local Authority Area
66,SW1W,51.49249958310414,-0.15073217920951354,LONDON,"Belgravia, Chelsea (part), area between Sloane Square and Victoria Station, south of Kings Road","Westminster, Kensington and Chelsea"
67,SW1X,51.49807296547941,-0.15646188006037973,LONDON,"Belgravia, north of Eaton Square, Knightsbridge (part), Chelsea (part)","Westminster, Kensington and Chelsea"
68,SW1Y,51.50734635918899,-0.13459858798499405,LONDON,St James's,Westminster
69,SW20,51.41129184455651,-0.2267612415745149,LONDON,"West Wimbledon district: Raynes Park, Lower Morden, Merton Park, Wimbledon Chase",Merton
70,WC1A,51.52056499764814,-0.11959514135256412,LONDON,New Oxford Street,Camden
71,WC1B,51.51951842375226,-0.12581160981482434,LONDON,"Bloomsbury, British Museum, Southampton Row",Camden
72,WC1E,51.52175023045769,-0.13245733600609394,LONDON,"University College London, SOAS",Camden
73,WC1H,51.52687078055178,-0.12538253380050665,LONDON,"St Pancras, UCL Institute of Education",Camden
74,WC1N,51.52294396039552,-0.11963642559644129,LONDON,"Russell Square, Great Ormond Street",Camden
75,WC1R,51.51973774884965,-0.11574665704816237,LONDON,Gray's Inn,Camden
76,WC1V,51.5182431077841,-0.11649777337068094,LONDON,High Holborn,"Camden, City of London"
77,WC1X,51.526632277950505,-0.11510290819084522,LONDON,"Kings Cross, Finsbury (west), Clerkenwell (north)","Camden, Islington"
78,WC2A,51.51641122601053,-0.11413807229431479,LONDON,"Lincoln's Inn Fields, Royal Courts of Justice, Chancery Lane","Camden, Westminster, City of London"
79,WC2B,51.51529207716417,-0.12011309132822794,LONDON,"Drury Lane, Kingsway, Aldwych","Camden, Westminster"
80,WC2E,51.51207954263617,-0.12315229179908026,LONDON,Covent Garden,Westminster
81,WC2H,51.513515581900485,-0.1271482871480135,LONDON,"Leicester Square, St. Giles","Camden, Westminster"
82,WC2N,51.50950082129876,-0.12457400132933331,LONDON,Charing Cross,Westminster
83,WC2R,51.51243984787281,-0.11799093918864968,LONDON,"Somerset House, Temple (west)",Westminster
